Experiment,Model,Features,MSE,RMSE,R²
Only City Encoding,Ridge,6,913.2426919907934,30.2199055589324,0.8269379977693687
Only City Encoding,XGBoost,6,681.7707586952123,26.110740293894622,0.8708025658492984
Only City Encoding,LightGBM,6,691.596153379599,26.298215783197136,0.8689406265294453
Only City Encoding,RandomForest,6,634.1559409472088,25.18245303673192,0.8798257047887985
Only Interaction Features,Ridge,9,906.1538683852312,30.102389745421064,0.8282813493421735
Only Interaction Features,XGBoost,9,715.323967047752,26.745541068517422,0.8644441405701496
Only Interaction Features,LightGBM,9,693.2676136376041,26.329975572294103,0.8686238802127912
Only Interaction Features,RandomForest,9,618.9970008129695,24.87965033542412,0.8826983656426257
Only Meteorological,Ridge,7,875.0870478506345,29.581870256132124,0.8341685972904015
Only Meteorological,XGBoost,7,665.862061187598,25.80430315252861,0.873817307787772
Only Meteorological,LightGBM,7,678.9905272459996,26.0574466754899,0.8713294273566338
Only Meteorological,RandomForest,7,615.2983233447063,24.80520758519683,0.8833992751969826
Base Only,Ridge,5,868.2272090774295,29.465695462307174,0.8354685556075956
Base Only,XGBoost,5,690.5063234128544,26.277487007186483,0.8691471523059884
Base Only,LightGBM,5,688.6813025203651,26.24273809114371,0.8694929987852834
Base Only,RandomForest,5,646.7598942591675,25.431474480634574,0.8774372209659124
+ City,Ridge,6,913.2426919907934,30.2199055589324,0.8269379977693687
+ City,XGBoost,6,681.7707586952123,26.110740293894622,0.8708025658492984
+ City,LightGBM,6,691.596153379599,26.298215783197136,0.8689406265294453
+ City,RandomForest,6,634.1559409472088,25.18245303673192,0.8798257047887985
+ Time,Ridge,15,925.5349910805061,30.422606579326928,0.8246085732788797
+ Time,XGBoost,15,787.7296900891733,28.066522586333587,0.8507230568840716
+ Time,LightGBM,15,675.4398142502404,25.989224964400925,0.8720022972364385
+ Time,RandomForest,15,666.9746723118169,25.82585278963343,0.8736064649192222
+ Lag,Ridge,45,423.75101193737174,20.585213429483108,0.919698017606609
+ Lag,XGBoost,45,317.49151062922425,17.81829146212465,0.9398344853973655
+ Lag,LightGBM,45,312.6250209063626,17.681205301289914,0.9407566985863233
+ Lag,RandomForest,45,311.8241647640061,17.658543676192725,0.9409084630282514
+ Rolling,Ridge,93,417.64652635629926,20.43640199145386,0.9208548344161095
+ Rolling,XGBoost,93,320.6742571671428,17.9073799637787,0.9392313461735037
+ Rolling,LightGBM,93,327.854396142921,18.106750016027753,0.9378706900868575
+ Rolling,RandomForest,93,319.60637741034935,17.87753834873105,0.9394337123248817
+ Interactions,Ridge,97,426.9709818688346,20.66327616494622,0.9190878244472784
+ Interactions,XGBoost,97,314.5251755396456,17.734857640805735,0.940396614056474
+ Interactions,LightGBM,97,319.76954520433014,17.88210125249072,0.9394027915790892
